2025-01-28 07:53:05 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-01-28 10:19:14 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-01-28 10:20:32 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-01-28 14:12:46 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-01-28 14:12:55 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-01-28 19:22:56 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-01-28 19:23:36 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-01-28 19:25:11 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-01-28 20:56:14 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-01-28 20:56:25 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-01-29 03:10:41 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-01-29 19:45:17 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-01-29 20:38:55 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-01-29 20:39:12 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-01-30 22:29:04 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-01-30 22:31:22 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


